id,centre_type,coordinates,country,region,county,postcode
,GP clinic,SRID=4326;POINT (-0.8858414455840586 51.13116697961987),United Kingdom,South East (England),Hampshire,GU35 9NJ
,Other,SRID=4326;POINT (-3.503976125592276 53.11650715519428),United Kingdom,Wales,Denbighshire,LL16 5RN
,Drive through centre,SRID=4326;POINT (-5.772377746696579 56.91961750077934),United Kingdom,Scotland,Highland,
,Home,SRID=4326;POINT (-3.14725530754799 51.8764470455796),United Kingdom,Wales,Powys,NP8 1RB
,GP clinic,SRID=4326;POINT (-6.167685470461151 54.86337234491604),United Kingdom,Northern Ireland,Mid and East Antrim,BT42 4QE
,Hospital,SRID=4326;POINT (-2.411404103910474 52.62195672498674),United Kingdom,West Midlands (England),Shropshire,TF11 9NA
,Home,SRID=4326;POINT (-5.64118811862016 54.57194519893515),United Kingdom,Northern Ireland,Ards and North Down,BT22 2AQ
,Hospital,SRID=4326;POINT (-2.430627340152741 51.22871231602476),United Kingdom,South West (England),Somerset,BA3 5RD
,GP clinic,SRID=4326;POINT (0.5908843669205091 52.26177857007247),United Kingdom,East of England,Suffolk,IP29 5DB
,Other,SRID=4326;POINT (-4.59387939086831 51.94681510850995),United Kingdom,Wales,Pembrokeshire,SA35 0DQ
,Hospital,SRID=4326;POINT (-2.007958612467327 52.80037986982385),United Kingdom,West Midlands (England),Staffordshire,ST18 0ST
,GP clinic,SRID=4326;POINT (0.6199565894693855 51.91930115424183),United Kingdom,East of England,Essex,CO9 1RR
,Home,SRID=4326;POINT (-3.289751078990419 54.55646520016894),United Kingdom,North West (England),Cumbria,CA13 9FG
,GP clinic,SRID=4326;POINT (-0.3142901392505681 53.03349711947769),United Kingdom,East Midlands (England),Lincolnshire,NG34 9SZ
,Hospital,SRID=4326;POINT (0.04832728877636505 50.91742352228593),United Kingdom,South East (England),East Sussex,BN8 5BU
,GP clinic,SRID=4326;POINT (-1.260403339738088 53.16987050022988),United Kingdom,East Midlands (England),Derbyshire,NG19 7SX
,Hospital,SRID=4326;POINT (-5.048824668721199 58.43997850459505),United Kingdom,Scotland,Highland,IV27 4RX
,Hospital,SRID=4326;POINT (-5.808345141759235 56.47972494975937),United Kingdom,Scotland,Argyll and Bute,
,Drive through centre,SRID=4326;POINT (-0.7175488047070058 51.05459910484385),United Kingdom,South East (England),West Sussex,GU27 3DX
,Home,SRID=4326;POINT (-0.544685575887029 51.86892051582178),United Kingdom,East of England,Central Bedfordshire,LU6 2JP
,GP clinic,SRID=4326;POINT (-0.308659239614566 52.15637580736963),United Kingdom,East of England,Central Bedfordshire,SG19 2AL
,Drive through centre,SRID=4326;POINT (0.8800221486175595 51.08349689566873),United Kingdom,South East (England),Kent,TN26 2PR
,Home,SRID=4326;POINT (-2.532541099061278 55.33488209472457),United Kingdom,Scotland,Scottish Borders,
,GP clinic,SRID=4326;POINT (-0.7357578065769337 53.94561114819673),United Kingdom,Yorkshire and The Humber,East Riding of Yorkshire,YO42 1UE
,Home,SRID=4326;POINT (-5.057339600657283 56.14545091739603),United Kingdom,Scotland,Argyll and Bute,PA27 8DN
,Hospital,SRID=4326;POINT (-3.779876157804098 56.86379848840917),United Kingdom,Scotland,Perth and Kinross,
,Other,SRID=4326;POINT (-5.825386645395252 56.72825090096887),United Kingdom,Scotland,Highland,
,Other,SRID=4326;POINT (-0.5650132486047843 52.50927219629033),United Kingdom,East Midlands (England),Northamptonshire,NN17 3EG
,Hospital,SRID=4326;POINT (-4.042491401852364 56.35410299438293),United Kingdom,Scotland,Perth and Kinross,PH6 2LD
,Home,SRID=4326;POINT (-6.517224177369672 57.99219493420469),United Kingdom,Scotland,Na h-Eileanan Siar,
,Home,SRID=4326;POINT (-1.7241874187448 51.68062041366557),United Kingdom,South West (England),Gloucestershire,GL7 4DX
,Other,SRID=4326;POINT (-2.89109418524871 56.71197273722983),United Kingdom,Scotland,Angus,DD8 3SN
,GP clinic,SRID=4326;POINT (-0.517928852114335 52.17836791503652),United Kingdom,East of England,Bedford,MK43 7SZ
,Other,SRID=4326;POINT (0.4202724045179718 51.0507922964066),United Kingdom,South East (England),East Sussex,TN5 7LX
,Hospital,SRID=4326;POINT (-4.107113466316992 54.95954628469426),United Kingdom,Scotland,Dumfries and Galloway,DG7 2PY
,Hospital,SRID=4326;POINT (0.5042349914264932 52.10904940638557),United Kingdom,East of England,Suffolk,CB9 7TL
,Hospital,SRID=4326;POINT (-4.327813967999345 57.33065615400904),United Kingdom,Scotland,Highland,
,GP clinic,SRID=4326;POINT (-6.712575817706742 58.10041603507679),United Kingdom,Scotland,Na h-Eileanan Siar,
,GP clinic,SRID=4326;POINT (-4.89761859771372 56.41579758121865),United Kingdom,Scotland,Argyll and Bute,PA33 1BB
,GP clinic,SRID=4326;POINT (-2.976704541648641 51.88370869926796),United Kingdom,Wales,Monmouthshire,NP7 8DJ
,Home,SRID=4326;POINT (-2.266368386532775 52.8828624320503),United Kingdom,West Midlands (England),Staffordshire,ST21 6LY
,Other,SRID=4326;POINT (-0.3440200130582216 52.14405740066067),United Kingdom,East of England,Central Bedfordshire,MK44 3LF
,Hospital,SRID=4326;POINT (-1.784574249587811 52.80312520655541),United Kingdom,West Midlands (England),Staffordshire,DE13 8RJ
,Other,SRID=4326;POINT (-2.543037787065496 54.36440106983643),United Kingdom,North West (England),Cumbria,LA10 5JA
,Drive through centre,SRID=4326;POINT (-4.872981334142359 57.04721841596236),United Kingdom,Scotland,Highland,
,Drive through centre,SRID=4326;POINT (-3.49162593629337 54.98107636667942),United Kingdom,Scotland,Dumfries and Galloway,DG1 4UF
,Hospital,SRID=4326;POINT (-2.155868047530935 55.89104588529223),United Kingdom,Scotland,Scottish Borders,TD14 5QB
,Other,SRID=4326;POINT (-2.520468488328997 52.85107710813796),United Kingdom,West Midlands (England),Shropshire,TF9 2LE
,GP clinic,SRID=4326;POINT (-1.374773130214258 50.69155523522922),United Kingdom,South East (England),Isle of Wight,PO30 4HX
,Home,SRID=4326;POINT (-1.818565994868535 53.4541179865237),United Kingdom,East Midlands (England),Derbyshire,
,Other,SRID=4326;POINT (-0.2793157319523818 52.02276400900178),United Kingdom,East of England,Central Bedfordshire,SG16 6DD
,Other,SRID=4326;POINT (-1.297054013609676 52.01932740177285),United Kingdom,South East (England),Oxfordshire,OX17 3NL
,Drive through centre,SRID=4326;POINT (-6.461136043742234 58.24168637472361),United Kingdom,Scotland,Na h-Eileanan Siar,
,Hospital,SRID=4326;POINT (-3.597964463036955 51.52508587491761),United Kingdom,Wales,Bridgend,CF31 4LU
,GP clinic,SRID=4326;POINT (0.3154085606596162 52.24173880011779),United Kingdom,East of England,Cambridgeshire,CB25 0LA
,GP clinic,SRID=4326;POINT (-4.197403179753207 53.25128726368655),United Kingdom,Wales,Isle of Anglesey,LL59 5RY
,Drive through centre,SRID=4326;POINT (-0.3272565041897479 52.06361728813244),United Kingdom,East of England,Central Bedfordshire,SG18 9LD
,GP clinic,SRID=4326;POINT (-2.974990631430718 55.16195063266969),United Kingdom,Scotland,Dumfries and Galloway,DG13 0HR
,Home,SRID=4326;POINT (-3.058395421400323 51.51334187677681),United Kingdom,Wales,Newport,CF3 2TN
,Drive through centre,SRID=4326;POINT (-0.5015659493187332 53.53820031887892),United Kingdom,Yorkshire and The Humber,North Lincolnshire,DN20 9LT
,Home,SRID=4326;POINT (-2.172823251995328 54.68423980150107),United Kingdom,North East (England),County Durham,DL12 0EJ
,Hospital,SRID=4326;POINT (-3.086330692345236 51.73310347996927),United Kingdom,Wales,Torfaen,NP4 7UQ
,Home,SRID=4326;POINT (-4.018330597706729 58.47211570651331),United Kingdom,Scotland,Highland,
,Other,SRID=4326;POINT (-0.8518425635946416 51.8328536420619),United Kingdom,South East (England),Buckinghamshire,HP18 1AA
,Home,SRID=4326;POINT (-5.536932530014488 57.31020103348332),United Kingdom,Scotland,Highland,
,Other,SRID=4326;POINT (-1.435741915941263 50.64967998953664),United Kingdom,South East (England),Isle of Wight,PO30 4EH
,Hospital,SRID=4326;POINT (-3.677557475553191 58.21756153023554),United Kingdom,Scotland,Highland,
,GP clinic,SRID=4326;POINT (0.9594913251839312 51.3456722095307),United Kingdom,South East (England),,CT5 4BP
,Other,SRID=4326;POINT (-3.23454783216816 56.49891379488415),United Kingdom,Scotland,Perth and Kinross,PH14 9TB
,Drive through centre,SRID=4326;POINT (-5.850898782192235 54.81036270424844),United Kingdom,Northern Ireland,Mid and East Antrim,BT40 3DX
,Home,SRID=4326;POINT (-1.382526770971571 53.1153500331521),United Kingdom,East Midlands (England),Derbyshire,DE55 6AX
,Drive through centre,SRID=4326;POINT (-4.22129928638542 58.34810122390498),United Kingdom,Scotland,Highland,
,GP clinic,SRID=4326;POINT (-2.075321136551387 51.0281708373879),United Kingdom,South West (England),Wiltshire,SP3 5PX
,Drive through centre,SRID=4326;POINT (0.3574041040435301 51.35078139675349),United Kingdom,South East (England),Kent,DA13 0DL
,Other,SRID=4326;POINT (0.3737583652010166 51.88657788475105),United Kingdom,East of England,Essex,CM6 3BQ
,Drive through centre,SRID=4326;POINT (-4.706629273612233 55.32779233184944),United Kingdom,Scotland,South Ayrshire,KA19 8LL
,Other,SRID=4326;POINT (-1.766086830629937 52.45910468406321),United Kingdom,West Midlands (England),Birmingham,B26 3SS
,Home,SRID=4326;POINT (-0.3531277944076416 54.06452533798507),United Kingdom,Yorkshire and The Humber,East Riding of Yorkshire,YO25 4SA
,Home,SRID=4326;POINT (-6.861913682354972 57.97664839423297),United Kingdom,Scotland,Na h-Eileanan Siar,
,Drive through centre,SRID=4326;POINT (-4.781643368301305 55.01551482288981),United Kingdom,Scotland,Dumfries and Galloway,
,Hospital,SRID=4326;POINT (-2.388729649089886 53.45595455001838),United Kingdom,North West (England),Trafford,M41 8SJ
,GP clinic,SRID=4326;POINT (-5.045103088635358 58.02393403564744),United Kingdom,Scotland,Highland,
,Home,SRID=4326;POINT (-4.066301783326663 56.18143062888495),United Kingdom,Scotland,Stirling,FK16 6AY
,Other,SRID=4326;POINT (-2.151767569955411 54.0101077032547),United Kingdom,Yorkshire and The Humber,North Yorkshire,BD23 4DT
,Hospital,SRID=4326;POINT (-1.346872419912915 51.08573903629581),United Kingdom,South East (England),Hampshire,SO22 6PS
,GP clinic,SRID=4326;POINT (-5.497673071111603 57.66347545685299),United Kingdom,Scotland,Highland,IV22 2HL
,GP clinic,SRID=4326;POINT (-2.664223056325167 53.94174606888626),United Kingdom,North West (England),Lancashire,
,Hospital,SRID=4326;POINT (-3.672662554789424 58.493752004352),United Kingdom,Scotland,Highland,
,Other,SRID=4326;POINT (0.2787446025677216 52.66314931128213),United Kingdom,East of England,Norfolk,PE14 8HA
,Hospital,SRID=4326;POINT (-6.787591631399548 54.61122636621783),United Kingdom,Northern Ireland,Mid Ulster,BT80 9DB
,GP clinic,SRID=4326;POINT (-2.100585416868258 53.77585955684405),United Kingdom,Yorkshire and The Humber,Calderdale,HX7 7AU
,Other,SRID=4326;POINT (-3.641578140746717 58.57966807156981),United Kingdom,Scotland,Highland,KW14 7QW
,Other,SRID=4326;POINT (-4.290923759973179 57.63756415659461),United Kingdom,Scotland,Highland,IV7 8JT
,Home,SRID=4326;POINT (-0.01062707219796266 51.65318687531838),United Kingdom,East of England,Essex,E4 7RB
,Hospital,SRID=4326;POINT (-2.543969231833333 51.77783832757517),United Kingdom,South West (England),Gloucestershire,GL15 4HT
,Hospital,SRID=4326;POINT (-2.98772841137139 51.22092225914452),United Kingdom,South West (England),,TA9 3HE
,Home,SRID=4326;POINT (-3.458396371037825 52.87422341184242),United Kingdom,Wales,Denbighshire,
,GP clinic,SRID=4326;POINT (-3.670147443223724 55.16261207858323),United Kingdom,Scotland,Dumfries and Galloway,DG2 0XS
,Hospital,SRID=4326;POINT (-3.206771993353774 57.36750290137499),United Kingdom,Scotland,Moray,AB55 4DD
,Hospital,SRID=4326;POINT (-6.515928036771278 57.40146751279577),United Kingdom,Scotland,Highland,IV55 8ZE
,Hospital,SRID=4326;POINT (-4.204006359653835 58.17322715212255),United Kingdom,Scotland,Highland,
,GP clinic,SRID=4326;POINT (-7.646054180510236 54.72331921145101),United Kingdom,Northern Ireland,Derry City and Strabane,BT81 7TU
,Home,SRID=4326;POINT (0.4057858398769181 52.04556479265351),United Kingdom,East of England,Essex,CB9 7AL
,Hospital,SRID=4326;POINT (-0.5788930683228442 52.95427800921042),United Kingdom,East Midlands (England),Lincolnshire,NG32 2DA
,Hospital,SRID=4326;POINT (-0.178276896730873 52.45603037415386),United Kingdom,East of England,Cambridgeshire,PE26 2RW
,Hospital,SRID=4326;POINT (0.5903159154406907 52.54810138886592),United Kingdom,East of England,Norfolk,IP26 5NL
,GP clinic,SRID=4326;POINT (1.121709816068396 51.10683263745561),United Kingdom,South East (England),Kent,CT18 8BQ
,Other,SRID=4326;POINT (-0.7900826468611495 53.23150828104761),United Kingdom,East Midlands (England),Nottinghamshire,NG23 6SH
,Drive through centre,SRID=4326;POINT (-3.33937689106841 56.12654457972738),United Kingdom,Scotland,Fife,KY4 9EZ
,Other,SRID=4326;POINT (-0.5720181074496473 53.6074856332722),United Kingdom,Yorkshire and The Humber,North Lincolnshire,DN15 0BZ
,Home,SRID=4326;POINT (-4.506857078459777 58.06288144607765),United Kingdom,Scotland,Highland,
,Hospital,SRID=4326;POINT (0.8751944631943012 52.19914636657808),United Kingdom,East of England,Suffolk,IP30 9TN
,Home,SRID=4326;POINT (-1.822445840724258 53.4117456786506),United Kingdom,East Midlands (England),Derbyshire,S33 0AB
,Drive through centre,SRID=4326;POINT (-1.226920422758382 54.43726654400178),United Kingdom,Yorkshire and The Humber,North Yorkshire,TS9 7EA
,Drive through centre,SRID=4326;POINT (-2.071024755650335 54.76587651875916),United Kingdom,North East (England),County Durham,DL13 2AF
,Hospital,SRID=4326;POINT (-3.15647582396478 53.24981652332356),United Kingdom,Wales,Flintshire,CH6 5RP
,Hospital,SRID=4326;POINT (-3.537467526992176 57.65814329228692),United Kingdom,Scotland,Moray,IV36 2UA
,GP clinic,SRID=4326;POINT (-4.385771785809997 53.2343969443364),United Kingdom,Wales,Isle of Anglesey,LL62 5DE
,Other,SRID=4326;POINT (-3.553722844299199 52.91524189413929),United Kingdom,Wales,Gwynedd,LL23 7DP
,GP clinic,SRID=4326;POINT (-7.656152274800453 54.42330581824313),United Kingdom,Northern Ireland,Fermanagh and Omagh,BT94 2NR
,Home,SRID=4326;POINT (-4.369108070883017 57.10411688215841),United Kingdom,Scotland,Highland,
,Hospital,SRID=4326;POINT (-2.351150204235884 50.73601615414415),United Kingdom,South West (England),Dorset,DT2 8QS
,Drive through centre,SRID=4326;POINT (-1.790621451121848 53.97465980444814),United Kingdom,Yorkshire and The Humber,North Yorkshire,
,Home,SRID=4326;POINT (-6.609877636152259 54.91769131553377),United Kingdom,Northern Ireland,Mid Ulster,BT51 5UA
,Home,SRID=4326;POINT (-3.356580990197993 56.92715937920104),United Kingdom,Scotland,Aberdeenshire,
,Drive through centre,SRID=4326;POINT (-3.626298966624598 52.63202198920621),United Kingdom,Wales,Powys,SY19 7DY
,GP clinic,SRID=4326;POINT (-3.84998146069891 55.82367723043658),United Kingdom,Scotland,North Lanarkshire,ML7 4NS
,GP clinic,SRID=4326;POINT (-3.079425061882568 52.12318872964378),United Kingdom,West Midlands (England),"Herefordshire, County of",HR3 6EZ
,GP clinic,SRID=4326;POINT (-1.250690820142893 52.40574082493888),United Kingdom,West Midlands (England),Warwickshire,CV23 0XF
,Hospital,SRID=4326;POINT (-4.302227983328773 52.17690041829862),United Kingdom,Wales,Ceredigion,SA47 0QW
,Home,SRID=4326;POINT (-2.213481811552098 57.31798471997124),United Kingdom,Scotland,Aberdeenshire,AB41 6SS
,GP clinic,SRID=4326;POINT (-1.945893670316354 53.72270825664879),United Kingdom,Yorkshire and The Humber,Calderdale,HX2 6AG
,Other,SRID=4326;POINT (-4.090112959543305 55.04208553097423),United Kingdom,Scotland,Dumfries and Galloway,DG7 3NQ
,Other,SRID=4326;POINT (-0.5862530141155586 52.30841243905217),United Kingdom,East Midlands (England),Northamptonshire,NN10 8HR
,GP clinic,SRID=4326;POINT (-2.692481846928535 52.04188522386146),United Kingdom,West Midlands (England),"Herefordshire, County of",HR2 6JT
,GP clinic,SRID=4326;POINT (-2.168134068304599 57.30006798790714),United Kingdom,Scotland,Aberdeenshire,AB41 6SJ
,Drive through centre,SRID=4326;POINT (-2.562860818849017 55.35152498973714),United Kingdom,Scotland,Scottish Borders,
,Other,SRID=4326;POINT (-2.432633354075306 57.32183477027923),United Kingdom,Scotland,Aberdeenshire,AB51 5DT
,Hospital,SRID=4326;POINT (1.303958257170471 52.88308725062016),United Kingdom,East of England,Norfolk,NR11 8TA
,Drive through centre,SRID=4326;POINT (0.7054191961591432 51.89749686593004),United Kingdom,East of England,Essex,CO6 2LA
,Other,SRID=4326;POINT (-2.505460233605993 52.31443620737531),United Kingdom,West Midlands (England),Worcestershire,WR15 8NW
,Other,SRID=4326;POINT (-4.960135454294485 57.60182738065762),United Kingdom,Scotland,Highland,IV23 2QD
,Other,SRID=4326;POINT (0.9861983564134 52.08457360368478),United Kingdom,East of England,Suffolk,IP7 6PN
,Hospital,SRID=4326;POINT (-2.810566120388414 52.30028661016992),United Kingdom,West Midlands (England),"Herefordshire, County of",HR6 9TS
,GP clinic,SRID=4326;POINT (0.5414854149733177 51.46912250278117),United Kingdom,South East (England),Medway,ME3 8DS
,Drive through centre,SRID=4326;POINT (0.324437519143089 52.11160873334468),United Kingdom,East of England,Cambridgeshire,CB21 4PT
,Drive through centre,SRID=4326;POINT (-2.434636488104667 50.96108137203864),United Kingdom,South West (England),Dorset,DT9 5DX
,Drive through centre,SRID=4326;POINT (-4.173860455429923 57.66514626245259),United Kingdom,Scotland,Highland,IV7 8LQ
,Home,SRID=4326;POINT (-0.09995994553831444 53.73521826156875),United Kingdom,Yorkshire and The Humber,East Riding of Yorkshire,HU12 9HT
,Hospital,SRID=4326;POINT (-3.687390336694912 50.35785757958874),United Kingdom,South West (England),Devon,TQ9 7DT
,Hospital,SRID=4326;POINT (-2.325151268621931 53.4873406072836),United Kingdom,North West (England),Salford,M6 8HB
,Drive through centre,SRID=4326;POINT (-2.732674578618754 57.32815979479354),United Kingdom,Scotland,Aberdeenshire,AB52 6YS
,Home,SRID=4326;POINT (-6.299130577717255 56.99500782759492),United Kingdom,Scotland,Highland,
,GP clinic,SRID=4326;POINT (-1.075218418756824 60.52763097706853),United Kingdom,Scotland,Shetland Islands,ZE2 9AU
,Home,SRID=4326;POINT (-2.830011899273668 56.84814958250992),United Kingdom,Scotland,Angus,DD9 7UP
,Home,SRID=4326;POINT (-4.993184238575775 54.87295366656255),United Kingdom,Scotland,Dumfries and Galloway,DG9 8NN
,Hospital,SRID=4326;POINT (-0.9660319240893847 51.57590167627347),United Kingdom,South East (England),Oxfordshire,RG9 5BJ
,GP clinic,SRID=4326;POINT (-1.272853857764022 52.33213706870096),United Kingdom,West Midlands (England),Warwickshire,CV23 8BW
,Hospital,SRID=4326;POINT (-1.573985183331059 51.54873578208274),United Kingdom,South East (England),Oxfordshire,RG17 8RA
,GP clinic,SRID=4326;POINT (-0.7665584246172941 51.23364786312244),United Kingdom,South East (England),Surrey,GU9 9LQ
,GP clinic,SRID=4326;POINT (-5.167035712415925 57.9474313278179),United Kingdom,Scotland,Highland,IV26 2TW
,Hospital,SRID=4326;POINT (-4.561151001408561 51.74372315218232),United Kingdom,Wales,Carmarthenshire,SA33 4PB
,Home,SRID=4326;POINT (-0.006973396541292587 52.06264990914232),United Kingdom,East of England,Cambridgeshire,SG8 7XW
,Hospital,SRID=4326;POINT (-0.745974880842879 54.11309340357163),United Kingdom,Yorkshire and The Humber,North Yorkshire,YO17 9NG
,Home,SRID=4326;POINT (-3.514283324589685 52.87762707881279),United Kingdom,Wales,Gwynedd,
,Hospital,SRID=4326;POINT (-1.692084971230368 55.07047351924171),United Kingdom,North East (England),Northumberland,NE13 6BU
,Other,SRID=4326;POINT (-0.8841779266137069 52.50327246948779),United Kingdom,East Midlands (England),Leicestershire,LE16 7FN
,Drive through centre,SRID=4326;POINT (-4.470772344775307 57.92407882290768),United Kingdom,Scotland,Highland,
,Other,SRID=4326;POINT (0.7056498924035104 51.95398257815108),United Kingdom,East of England,Essex,CO6 2HS
,Drive through centre,SRID=4326;POINT (-3.187299595810765 51.92749688527339),United Kingdom,Wales,Powys,NP8 1RT
,Hospital,SRID=4326;POINT (0.8223296745061752 51.08496088784516),United Kingdom,South East (England),Kent,TN26 2EP
,Hospital,SRID=4326;POINT (-2.692586003620071 54.45264314977318),United Kingdom,North West (England),Cumbria,
,Home,SRID=4326;POINT (-3.974263181132402 55.69241339709714),United Kingdom,Scotland,South Lanarkshire,ML9 3DU
,Other,SRID=4326;POINT (-1.886387352171712 54.17714832135233),United Kingdom,Yorkshire and The Humber,North Yorkshire,HG3 5TA
,Other,SRID=4326;POINT (-6.501890430391903 58.23384983351534),United Kingdom,Scotland,Na h-Eileanan Siar,
,Drive through centre,SRID=4326;POINT (-2.440045884786196 51.79316779152251),United Kingdom,South West (England),Gloucestershire,GL2 7JL
,Home,SRID=4326;POINT (-4.614564840280122 57.33867319977539),United Kingdom,Scotland,Highland,IV63 6TN
,Home,SRID=4326;POINT (-1.721875354723767 52.87700322959555),United Kingdom,East Midlands (England),Derbyshire,DE65 5PL
,Other,SRID=4326;POINT (-1.263436699052412 60.01550096247403),United Kingdom,Scotland,Shetland Islands,ZE2 9JN
,Drive through centre,SRID=4326;POINT (-3.657257658064733 53.29035042974736),United Kingdom,Wales,Conwy,LL22 8HS
,Other,SRID=4326;POINT (-3.443170772143206 52.57786745443786),United Kingdom,Wales,Powys,SY21 0AJ
,Drive through centre,SRID=4326;POINT (-3.388809054258648 51.03471193432923),United Kingdom,South West (England),Somerset,TA4 2QQ
,GP clinic,SRID=4326;POINT (-5.118960352772545 56.07793822874486),United Kingdom,Scotland,Argyll and Bute,PA22 3AD
,Hospital,SRID=4326;POINT (-4.251617674083532 55.37388113421113),United Kingdom,Scotland,East Ayrshire,KA18 4QW
,Home,SRID=4326;POINT (-4.454987602115486 52.87933954012118),United Kingdom,Wales,Gwynedd,LL53 7NG
,Drive through centre,SRID=4326;POINT (-4.821649796482124 55.01957175192901),United Kingdom,Scotland,Dumfries and Galloway,DG8 0LY
,Hospital,SRID=4326;POINT (-3.799657295457574 55.22091820865033),United Kingdom,Scotland,Dumfries and Galloway,DG3 4DE
,Hospital,SRID=4326;POINT (-1.622992723099419 55.28563449270873),United Kingdom,North East (England),Northumberland,NE61 5AZ
,Hospital,SRID=4326;POINT (-5.57176373085417 56.60585591175138),United Kingdom,Scotland,Highland,
,Other,SRID=4326;POINT (-3.455550667713375 54.37062115273716),United Kingdom,North West (England),Cumbria,CA19 1XL
,GP clinic,SRID=4326;POINT (-1.3036280795771 52.12634343472119),United Kingdom,South East (England),Oxfordshire,OX17 1PF
,Drive through centre,SRID=4326;POINT (-0.1310149319068898 52.3220281681462),United Kingdom,East of England,Cambridgeshire,PE28 9AS
,GP clinic,SRID=4326;POINT (-3.706722942008558 56.22503762267798),United Kingdom,Scotland,Perth and Kinross,FK14 7JZ
,Other,SRID=4326;POINT (-3.421076757436157 51.62295958411558),United Kingdom,Wales,Rhondda Cynon Taf,CF39 0NW
,Drive through centre,SRID=4326;POINT (-5.855721262149223 56.4702679465001),United Kingdom,Scotland,Argyll and Bute,
,Other,SRID=4326;POINT (0.4678425339854808 51.10175189275824),United Kingdom,South East (England),Kent,TN17 2QU
,Hospital,SRID=4326;POINT (-1.05465338580357 54.61491100721952),United Kingdom,North East (England),Redcar and Cleveland,TS10 3JY
,Drive through centre,SRID=4326;POINT (-2.493167703916916 54.59428464413248),United Kingdom,North West (England),Cumbria,CA16 6JN
,Home,SRID=4326;POINT (-2.305727241527417 53.27292766079884),United Kingdom,North West (England),Cheshire East,WA16 8SR
,Other,SRID=4326;POINT (-2.01260202619218 55.70848267007234),United Kingdom,North East (England),Northumberland,TD15 2TB
,Drive through centre,SRID=4326;POINT (-2.620616072039225 50.8862911167652),United Kingdom,South West (England),Somerset,BA22 9RN
,Other,SRID=4326;POINT (-0.3427923697044815 53.8586738975259),United Kingdom,Yorkshire and The Humber,East Riding of Yorkshire,HU17 9SR
,Hospital,SRID=4326;POINT (-5.263551155818901 56.45032066379925),United Kingdom,Scotland,Argyll and Bute,PA35 1JA
,Drive through centre,SRID=4326;POINT (-3.604570595475637 57.44636544355893),United Kingdom,Scotland,Highland,
,Home,SRID=4326;POINT (-3.400175223625138 54.51842117088441),United Kingdom,North West (England),Cumbria,CA23 3AS
,Hospital,SRID=4326;POINT (-2.082934425803519 53.48401528984755),United Kingdom,North West (England),Tameside,OL6 6UH
,Drive through centre,SRID=4326;POINT (-2.863950662421191 54.79718046861509),United Kingdom,North West (England),Cumbria,CA4 0LN
,Other,SRID=4326;POINT (-1.833398555060477 52.68986007938015),United Kingdom,West Midlands (England),Staffordshire,WS13 7HA
,Hospital,SRID=4326;POINT (-4.598080933799844 57.95994524464793),United Kingdom,Scotland,Highland,
